Source,Target,Type,Id,Label,timeset,Weight
0,1,Directed,1,J4,,1
0,2,Directed,2,J4,,1
0,3,Directed,3,J4,,1
0,4,Directed,4,J4,,1
0,5,Directed,5,J4,,1
0,6,Directed,6,J5,,1
0,7,Directed,7,J5,,1
0,8,Directed,8,J5,,1
0,9,Directed,9,J5,,1
0,10,Directed,10,J5,,1
1,11,Directed,11,-P71,,1
2,12,Directed,12,-P71,,1
3,13,Directed,13,-P71,,1
4,14,Directed,14,-P71,,1
5,15,Directed,15,-P71,,1
6,16,Directed,16,-P71,,1
7,17,Directed,17,-P71,,1
8,18,Directed,18,-P71,,1
9,19,Directed,19,-P71,,1
10,20,Directed,20,-P71,,1
21,22,Directed,21,-P34,,1
22,23,Directed,22,P35,,1
23,24,Directed,23,P5,,1
24,25,Directed,24,-P141,,1
25,0,Directed,25,J2,,1
